Artist,Title,Spotify ID
Mike Posner,I Took A Pill In Ibiza - Seeb Remix,17Fd6Yb7mSbinKG8LoWfFl
Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),68EMU2RD1ECNeOeJ5qAXCV
Alok,Hear Me Now,1a5Yu5L18qNxVhXx38njON
J Balvin,Safari,6rQSrBHf7HlZjtcMZ4S4bO
DRAM,Broccoli (feat. Lil Yachty),7yyRTcZmCiyzzJlNzGC9Ol
Calvin Harris,This Is What You Came For,0azC730Exh71aQlOt9Zj3y
Alessia Cara,"How Far I'll Go - From ""Moana""",5hYTyyh2odQKphUbMqc5gN
Aminé,Caroline,5GFDrUTLGJix84sNhjCG0g
Fifth Harmony,Work from Home,4tCtwWceOPWzenK2HAIJSb
Ricky Martin,Vente Pa' Ca,7DM4BPaS7uofFul3ywMe46
Zion & Lennox,Otra Vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq
The Weeknd,Party Monster,4F7A0DXBrmUAkp32uenhZt
NEIKED,Sexual,3AsAuGTaDQzavZZThyYlop
Jonas Blue,Perfect Strangers,1CUVN2kn7mW5FjkqXTR2W1
Sia,The Greatest,7xHWNBFm6ObGEQPaUxHuKO
Twenty One Pilots,Ride,2Z8WuEywRWYTKe1NybPQEW
Big Sean,Bounce Back,0SGkqnVQo9KPytSri1H6cF
J. Cole,Deja Vu,6I6NX6tjGsxFAsIfGzY9lJ
Martin Jensen,Solo Dance,6HUnnBwYZqcED1eQztxMBN
Rihanna,Work,14WWzenpaEgQZlqPq2nk4v
Drake,Too Good,11KJSRSgaDxqydKYiD2Jew
Rag'n'Bone Man,Human,58zsLZPvfflaiIbNWoA22O
Justin Bieber,Love Yourself,3hB5DgAiMAQ4DzYbsMq1IT
Twenty One Pilots,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn
Alan Walker,Faded,7gHs73wELdeycvS48JfIos
Justin Bieber,Sorry,69bp2EbF7Q2rqc5N3ylezZ
Desiigner,Panda,5OOkp4U9P9oL23maHFHL1h
gnash,"i hate u, i love u (feat. olivia o'brien)",7vRriwrloYVaoAe3a9wJHe
Noah Cyrus,Make Me (Cry),2BrzlUj1u1CtvaJDGIKpsP
Adele,Water Under the Bridge,4vb4mFvYsr2h6enhjJsq9Y
DNCE,Cake By The Ocean,2aFiaMXmWsM3Vj72F9ksBl
Sia,The Greatest,6bLopGnirdrilrpdVB6Um1
Coldplay,Hymn For The Weekend - Seeb Remix,1OAiWI2oPmglaOiv9fdioU
Mike Perry,The Ocean,2CPqh63wRVscbceKcPxwvv
Luke Christopher,Lot to Learn,3TRFq09DUgYj1mug6RRqJW
Lil Wayne,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",4dASQiO1Eoo3RJvt74FtXB
Major Lazer,Light It Up (feat. Nyla & Fuse ODG) - Remix,0L7loeTIg6akW84aEQZpCT
The Chainsmokers,Setting Fires,0B8B8cVRFIG1yznoQe7c9s
Drake,Controlla,6F609ICg9Spjrw1epsAnpa
MC G15,Deu Onda,0EPxmvsG1BY5td4aTOkWBF
Carlos Vives,La Bicicleta,0sXvAOmXgjR2QUqLK1MltU
Little Mix,Shout Out to My Ex,0YHUITU3w6ws1v8ehT264g
Ariana Grande,Into You,7yHEDfrJNd0zWOfXwydNH0
Cashmere Cat,Trust Nobody (feat. Selena Gomez & Tory Lanez),2wDjpPW3HZdA9quPPmZAMu
Sebastian Yatra,Traicionera,5J1c3M4EldCfNxXwrwt8mT
Petit Biscuit,Sunset Lover,0hNduWmlWmEmuwEFcYvRu1
21 Savage,X (feat. Future),6fwdbPMwP1zVStm8FybmkO
