song_id,artist_id,artist_name,duration,explicit,song_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,analysis_url
2XaInsPPUkZRkY4uFJ3AHK,13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,209142,TRUE,Met Gala (feat. Offset),78,0.817,0.587,2,-6.502,1,0.108,0.052,0.00165,0.185,0.352,140.062,4,https://api.spotify.com/v1/audio-analysis/2XaInsPPUkZRkY4uFJ3AHK
5yuShbu70mtHXY0yLzCQLQ,246dkjvS1zLTtiykXe5h60,Post Malone,179613,TRUE,Go Flex,85,0.662,0.496,5,-8.267,1,0.109,0.248,0,0.0769,0.133,81.951,4,https://api.spotify.com/v1/audio-analysis/5yuShbu70mtHXY0yLzCQLQ
3kGfazcbVvVkuZunzlLgTD,1IueXOQyABrMOprrzwQJWN,Sigala,202999,FALSE,Came Here for Love,82,0.708,0.868,6,-3.287,1,0.0431,0.0313,0,0.122,0.72,124.994,4,https://api.spotify.com/v1/audio-analysis/3kGfazcbVvVkuZunzlLgTD
2NlmmAjGYrrjAp0MED5rGx,06HL4z0CvFAxyc27GXpf02,Taylor Swift,211933,FALSE,Bad Blood,40,0.656,0.797,7,-6.112,1,0.172,0.0941,5.94E-06,0.164,0.285,170.099,4,https://api.spotify.com/v1/audio-analysis/2NlmmAjGYrrjAp0MED5rGx
4A4A6dwl5DqdqrZaEtKGPR,06HL4z0CvFAxyc27GXpf02,Taylor Swift,220440,FALSE,Wildest Dreams,43,0.555,0.683,8,-7.275,1,0.0935,0.0625,0.0028,0.103,0.5,140.024,4,https://api.spotify.com/v1/audio-analysis/4A4A6dwl5DqdqrZaEtKGPR
1jYiIOC5d6soxkJP81fxq2,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,288876,TRUE,I'm the One,81,0.599,0.667,7,-4.267,1,0.0367,0.0533,0,0.134,0.817,80.984,4,https://api.spotify.com/v1/audio-analysis/1jYiIOC5d6soxkJP81fxq2
1OAh8uOEOvTDqkKFsKksCi,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,204173,TRUE,Wild Thoughts,88,0.671,0.672,0,-3.094,0,0.0688,0.0329,0,0.118,0.632,97.98,4,https://api.spotify.com/v1/audio-analysis/1OAh8uOEOvTDqkKFsKksCi
6BaCraQ9xeLYg4Sb9TBT2X,7CajNmpbOovFoOoasH2HaY,Calvin Harris,223413,TRUE,Feels,83,0.893,0.745,11,-3.105,0,0.0571,0.0642,0,0.0943,0.872,101.018,4,https://api.spotify.com/v1/audio-analysis/6BaCraQ9xeLYg4Sb9TBT2X
1nX9KhK3Fff27SnrIor2Yb,17lzZA2AlOHwCwFALHttmp,2 Chainz,255560,TRUE,4:00 AM,79,0.796,0.513,6,-7.14,0,0.452,0.122,0,0.15,0.235,75.018,4,https://api.spotify.com/v1/audio-analysis/1nX9KhK3Fff27SnrIor2Yb
12o6dxWGk29uIAP3OWY0pM,163tK9Wjr9P9DmM0AVK7lm,Lorde,189796,TRUE,Homemade Dynamite,68,0.762,0.437,10,-5.581,1,0.0568,0.252,2.86E-06,0.0901,0.217,106.965,4,https://api.spotify.com/v1/audio-analysis/12o6dxWGk29uIAP3OWY0pM
7ARveOiD31w2Nq0n5FsSf8,163tK9Wjr9P9DmM0AVK7lm,Lorde,221874,TRUE,Perfect Places,69,0.62,0.576,1,-5.275,0,0.0581,0.00257,2.03E-05,0.129,0.512,104.324,4,https://api.spotify.com/v1/audio-analysis/7ARveOiD31w2Nq0n5FsSf8
2mNbgyi0gori4b1rFSPgIb,163tK9Wjr9P9DmM0AVK7lm,Lorde,197235,TRUE,Sober,66,0.795,0.488,6,-10.349,1,0.192,0.2,0.00364,0.133,0.528,107.734,4,https://api.spotify.com/v1/audio-analysis/2mNbgyi0gori4b1rFSPgIb
4gqMQftUs22F8pOGVn5Acr,7blkMNJv8n9ceP9zlA4W2U,Shawn Hook,209933,FALSE,Reminding Me,59,0.603,0.55,9,-4.862,0,0.0397,0.116,0,0.106,0.265,132.858,4,https://api.spotify.com/v1/audio-analysis/4gqMQftUs22F8pOGVn5Acr
0dyiHoYbYjYaOEXLpmzQZG,163tK9Wjr9P9DmM0AVK7lm,Lorde,277506,FALSE,Supercut,68,0.587,0.442,0,-10.395,1,0.0506,0.225,2.72E-05,0.0801,0.158,124.881,4,https://api.spotify.com/v1/audio-analysis/0dyiHoYbYjYaOEXLpmzQZG
5q4BpnMrYEFzLO0dYODj6J,163tK9Wjr9P9DmM0AVK7lm,Lorde,271088,FALSE,The Louvre,66,0.646,0.376,0,-10.054,1,0.0478,0.285,0.00951,0.0899,0.142,123.172,4,https://api.spotify.com/v1/audio-analysis/5q4BpnMrYEFzLO0dYODj6J
6H0AwSQ20mo62jGlPGB8S6,17lzZA2AlOHwCwFALHttmp,2 Chainz,210200,TRUE,It's A Vibe,82,0.841,0.516,11,-7.461,0,0.118,0.0263,0.00072,0.111,0.556,145.995,4,https://api.spotify.com/v1/audio-analysis/6H0AwSQ20mo62jGlPGB8S6
1AJQ97yAt6xfeF7nQaE1t8,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,232906,FALSE,Walking The Wire,70,0.307,0.764,4,-5.268,1,0.0466,0.0127,0,0.095,0.133,99.647,4,https://api.spotify.com/v1/audio-analysis/1AJQ97yAt6xfeF7nQaE1t8
1Dp7JGFNjvg8Nk0CtMCcnr,163tK9Wjr9P9DmM0AVK7lm,Lorde,367391,TRUE,Hard Feelings/Loveless,64,0.47,0.45,1,-10.963,0,0.201,0.03,0.00928,0.0781,0.175,149.999,4,https://api.spotify.com/v1/audio-analysis/1Dp7JGFNjvg8Nk0CtMCcnr
193Dm5SqYy3hTSbuzxbwKc,163tK9Wjr9P9DmM0AVK7lm,Lorde,216610,FALSE,Writer In The Dark,63,0.316,0.288,7,-8.022,1,0.0424,0.718,0,0.293,0.27,73.744,4,https://api.spotify.com/v1/audio-analysis/193Dm5SqYy3hTSbuzxbwKc
0q75NwOoFiARAVp4EXU4Bs,7tYKF4w9nC0nq9CsPZTHyP,SZA,275080,TRUE,Love Galore,85,0.795,0.594,0,-6.2,1,0.0747,0.111,0,0.162,0.409,135.002,4,https://api.spotify.com/v1/audio-analysis/0q75NwOoFiARAVp4EXU4Bs
54ucfuN596MU25jQD3KjCL,163tK9Wjr9P9DmM0AVK7lm,Lorde,178639,TRUE,Sober II (Melodrama),62,0.528,0.327,11,-11.852,1,0.0394,0.168,9.98E-06,0.0679,0.141,112.932,4,https://api.spotify.com/v1/audio-analysis/54ucfuN596MU25jQD3KjCL
4BJ5T8ZZZ3UrPG7k0OVQrp,3e7awlrlDSwF3iM0WBjGMp,Little Mix,242282,FALSE,Power (feat. Stormzy),76,0.568,0.863,7,-4.093,1,0.304,0.0405,5.97E-06,0.211,0.438,173.007,4,https://api.spotify.com/v1/audio-analysis/4BJ5T8ZZZ3UrPG7k0OVQrp
39pS70eeDvyCAF3t8NAlVV,17lzZA2AlOHwCwFALHttmp,2 Chainz,222706,TRUE,Good Drank,73,0.834,0.779,4,-1.075,0,0.224,0.279,0,0.121,0.391,130.002,4,https://api.spotify.com/v1/audio-analysis/39pS70eeDvyCAF3t8NAlVV
25oOaleife6E2MIKmFkPvg,50co4Is1HCEo8bhOyUWKpn,Young Thug,215306,TRUE,Relationship (feat. Future),84,0.842,0.597,2,-6.336,1,0.0627,0.00252,0,0.124,0.298,145.992,4,https://api.spotify.com/v1/audio-analysis/25oOaleife6E2MIKmFkPvg
