Artist ID,Artist Name
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth
13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane
6ydoSd3N2mwgwBHtF6K7eX,Calum Scott
6MDME20pz9RveH9rEXvrOM,Clean Bandit
7pFeBzX627ff0VnN6bxPR4,Desiigner
5WUlDfRSoLAfcVSX1WnrxN,Sia
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
5CCwRZC6euC8Odo6y9X8jr,Rita Ora
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly
2wY79sveU1sp5g7SokKOiI,Sam Smith
1Hsdzj7Dlq2I7tHP7501T4,Niall Horan
0DdDnziut7wOo6cAYWVZC5,KREAM
5RSYz1KaYXbHfKdlaxAI8O,DJ Jonathan
6S2OmqARrzebs0tKUEyXyp,Demi Lovato
4NHQUGzhtTLFvgF5SZesLK,Tove Lo
3iOvXCl6edW5Um0fXEBRXy,The xx
6lB8vOoI4DRrrVxXwuV19c,Mike Perry
6LqNN22kT3074XbTVUrhzX,Kesha
0Jsk5iYMr5aNjHury7blm1,Boef
6s22t5Y3prQHyaHWUN1R1C,AJR
4IWBUUAFIplrNtaOHcJPRM,James Arthur
2SrSdSvpminqmStGELCSNd,Stormzy
7DMveApC7UnC2NPfPvlHSU,Cheat Codes
1URnnhqYAYcrqrcwql10ft,21 Savage
7bXgB6jMjp9ATFy66eO08Z,Chris Brown
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes
6l3HvQ5sa6mXTsMTB19rO5,J. Cole
5NS0854TqZQVoRmJKSWtFZ,Chino & Nacho
1RyvyyTE3xzB2ZywiAwp0i,Future
1hzfo8twXdOegF3xireCYs,Milky Chance
3TVXtAsR1Inumwj472S9r4,Drake
6XyY86QOPPrYVGvF9ch6wz,Linkin Park
0q4NrXqJnc367PieejuROJ,Vice
5y2Xq6xcjJb2jVM54GHK3t,John Legend
0TnOYISbd1XYRBk9myaseg,Pitbull
33ScadVnbm2X8kkUqOkC6Z,Don Omar
41MozSoPIsD1dJM0CLPjZF,BLACKPINK
6oMuImdp5ZcFhWP0ESe6mG,Migos
1IueXOQyABrMOprrzwQJWN,Sigala
6KImCVD70vtIoJWnq6nGn3,Harry Styles
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator"
6fXEqmGQEt6ONuqVmwrN46,Bag Raiders
7dGJo4pcD2V6oG8kP0tJRR,Eminem
4Rxn7Im3LGfyRkY2FlHhWi,Nick Jonas
4sTQVOfp9vEMCemLw50sbu,Galantis
4obzFoKoKRHIphyHzJ35G3,Becky G
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha
2ayNSoKPCRAfjp6hQ76hRu,Nacho
163tK9Wjr9P9DmM0AVK7lm,Lorde
04gDigrS5kc9YWfZHwBETP,Maroon 5
6gK1Uct5FEdaUWRWpU4Cl2,Petit Biscuit
26VFTg2z8YR0cCuwLzESi2,Halsey
7CajNmpbOovFoOoasH2HaY,Calvin Harris
00FQb4jTyendYWaN8pK0wa,Lana Del Rey
2FXC3k01G6Gw61bmprjgqS,Hozier
0c173mlxpT3dSFRgMO8XPh,Big Sean
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots
02kJSzxNuaWGqwubyUba0Z,G-Eazy
5pUo3fmmHT8bhCyHE52hA6,Liam Payne
4lDBihdpMlOalxy1jkUbPl,Grey
1anyVhU62p31KFi8MEzkbf,Chance The Rapper
0jnsk9HBra6NMjO2oANoPY,Flo Rida
0QHgL1lAIqAw0HtD7YldmP,DJ Khaled
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue
4Q6nIcaBED8qUel8bBx6Cr,Jax Jones
4VMYDCV2IEDYJArk749S6m,Daddy Yankee
69GGBxA162lTqCwzJG5jLp,The Chainsmokers
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset
540vIaP2JwjQb9dm3aArA4,DJ Snake
3Nrfpe0tUJi4K4DXYWgMUX,BTS
7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd
07YUOmWljBTXwIseAUd9TW,Sebastian Yatra
1uNFoZAHBGtllmzznpCI3s,Justin Bieber
1KCSPY1glIKqW2TotWuXOR,P!nk
6Dd3NScHWwnW6obMFbl1BH,Daya
4dpARuHxo51G3z768sgnrY,Adele
6kXm2YCtdUOpRYNKeKhfue,Ryan Gosling
6LuN9FCkKOj5PcnpouEgny,Khalid
55Aa2cqylxrFIXC767Z865,Lil Wayne
4gzpq5DPGxSnKTe4SA8HAU,Coldplay
3zrUX1hQrUB9aXcOiyQLmN,Stanaj
6vWDO969PvNqNYHIOW5v0m,Beyoncé
7jdFEYD2LTYjfwxOdlVjmc,Kaleo
2FwJwEswyIUAljqgjNSHgP,Snakehips
1Xylc3o4UrD53lo9CvFvVg,Zara Larsson
0EmeFodog0BfCgMzAIvKQp,Shakira
1i8SpTcr7yvPOmcqrbnVXY,Ozuna
246dkjvS1zLTtiykXe5h60,Post Malone
3Isy6kedDrgPYoTS1dazA9,Sean Paul
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin
2hWs22BmQkK4czFtDLnar2,Rob $tone
329e4yvIujISKGKz1BZZbO,Farruko
3t5xRXzsuZmMDkQzgOX35S,Robin Schulz
3AA28KZvwAUcZuOKwyblJQ,Gorillaz
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie
7keGfmQR4X5w0two1xKZ7d,Kungs
5Q81rlcTFh3k6DQJXPdsot,Mura Masa
3wjsrpfO6odEphTZWx45RQ,Hearts & Colors
5ZsFI1h6hIdQRw2ti0hz81,ZAYN
3nFkdlSjzX9mRTtwJOzDYB,JAY Z
17lzZA2AlOHwCwFALHttmp,2 Chainz
50JJSqHUf2RQ9xsHs0KMHg,Jon Bellion
7gAppWoH7pcYmphCVTXkzs,The Vamps
50co4Is1HCEo8bhOyUWKpn,Young Thug
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd
0RqtSIYZmd4fiBKVFqyIqD,Thirty Seconds To Mars
1LOB7jTeEV14pHai6EXSzF,Cash Cash
1GDbiv3spRmZ1XdM1jQbT7,Natti Natasha
4kYSro6naA4h99UJvo89HB,Cardi B
3e7awlrlDSwF3iM0WBjGMp,Little Mix
4qBgvVog0wzW75IQ48mU7v,KYLE
7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias
49tQo2QULno7gxHutgccqF,LANY
2cFrymmkijnjDg9SS92EPM,blackbear
2DaxqgrOhkeH0fpeiQq2f4,Oasis
1bqxdqvUtPWZri43cKHac8,MAX
5DK8eK7fjvRsziXzyr3sFA,Moon Taxi
02A3cEvlLLCbIMVDrK2GHV,Starley
64KEffDW9EtZ1y2vBYgq8T,Marshmello
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
4vhNDa5ycK0ST968ek7kRr,Carlos Vives
738wLrAtLtCtFOLvQBXOXp,Major Lazer
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin
2KsP6tYLJlTBvSUxnwlVWa,Mike Posner
3hv9jJF3adDNsBSIQDqcjp,Mark Ronson
2XnBwblw31dfGnspMIwgWz,Axwell /\ Ingrosso
6x2LnllRG5uGarZMsD4iO8,Thomas Rhett
0hEurMDQu99nJRq8pTxO14,John Mayer
3MHaV05u0io8fQbZ2XPtlC,Prince Royce
0jNDKefhfSbLR9sFvcPLHo,San Holo
0OROVBEZCocg0FcgJpyBse,Alex Sensation
4PVn1b2WnnXdq80C7uaZLZ,Nause
7gP3bB2nilZXLfPHJhMdvc,Foster The People
0eecdvMrqBftK0M1VKhaF4,CNCO
4ehtJnVumNf6xzSCDk8aLB,Martin Jensen
0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto
55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus
4AVFqumd2ogHFlRbKIjp1t,Alesso
5sK8BsvyDl4TFA6KaBf8or,Charly Black
6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron
7blkMNJv8n9ceP9zlA4W2U,Shawn Hook
5yG7ZAZafVaAlMTeBybKAL,Iggy Azalea
6jJ0s89eD6GaHleKKya26X,Katy Perry
6ModsWtBph2rE6zCTVxvZt,Maite Perroni
4ON1ruy5ijE7ZPQthbrkgI,Burak Yeter
4WN5naL3ofxrVBgFpguzKo,Rudimental
5nkYRuiIHg2xXHFC8bfosJ,ItaloBrothers
7rkW85dBwwrJtlHRDkJDAC,NAV
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld
7tYKF4w9nC0nq9CsPZTHyP,SZA
5H6xmHXjsq98NLbEjuE29f,NEIKED
0b2GL7Y02vu50qieoQmw1w,IAmChino
2LZDXcxJWgsJfKXZv9a5eG,Cashmere Cat
5M0lbkGluOPXLeFjApw8r8,DRAM
787bCXOIvGeBw0Bc4kEjhD,Luke Christopher
25uiPmTg16RbhZWAqwLBy5,Charli XCX
4kYGAK2zu9EAomwj3hXkXy,JP Cooper
0qTZZWLzuD59Un5r1speHm,Chris Jeday
7hOGhpa8RMSuDOWntGIAJt,A R I Z O N A
3ATyg4fGC9F8trfb0GRWmX,Joey Montana
13bDjug9N0pyv3ZUINjkDV,Bausa
4u5smJBskI6Adzv08PuiUP,Kiiara
0uGk2czvcpWQA383Im6ajf,Maggie Lindemann
0gadJ2b9A4SKsB1RFkBb66,Passenger
2h93pZq0e7k5yf4dywlkpM,Frank Ocean
2R21vXR83lH98kGeO99Y66,Anuel Aa
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott
3tQx1LPXbsYjE9VwN1Peaa,Marc E. Bassy
2DlGxzQSjYe5N6G9nkYghR,Jennifer Lopez
4EzkuveR9pLvDVFNx6foYD,James Bay
1HY2Jd0NmPuamShAr6KMms,Lady Gaga
6T70tWxqyIpdVbsFvPzqM3,La La Land Cast
57WHJIHrjOE3iAxpihhMnp,Louis Tomlinson
0XNvr6bnNywV946ZKaJtr0,Joakim Lundell
3E6xrwgnVfYCrCs0ePERDz,Wisin
4bL2B6hmLlMWnUEZnorEtG,Felix Jaehn
1xHQO9GJIW9OXHxGBISYc5,Marian Hill
5JZ7CnR6gTvEMKX4g70Amv,Lauv
5he5w2lnU9x7JFhnwcekXX,Skrillex
5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter
5X4LWwbUFNzPkEas04uU82,DVBBS
23fqKkggKUBHNkbKtXEls4,Kygo
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara
74XFHRwlV6OrjEM0A2NCMF,Paramore
1dfeR4HaWDbWqFHLkxsg1d,Queen
6IhKl7lqJc5omkhODEJinj,
2ODbg2404zUzTi02qIPEjB,Tay-K
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo
2UZMlIwnkgAEDBsw1Rejkn,Tom Petty
21WS9wngs9AqFckK7yYJPM,PnB Rock
7FNnA9vBm6EKceENgCGRMb,Anitta
6nxWCVXbOlEVRexSbLsTer,Flume
2j2rh3oQh4QEUnNTDKYSJD,187 Strassenbande
3Nipsl6GVwwGyeAk0J29C6,MC G15
5lwmRuXgjX8xIwlnauTZIP,Romeo Santos
0AJUYWKztkg5dnrHDIBv47,MiC LOWRY
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo
5H1nN1SzW0qNeUEZvuXjAj,Danny Ocean
7LvoDJUNGnOrPdGRzVtOJ9,Young M.A
3h1fFIofdTGrHbqisHyWgI,
1vCWHaC5f2uS3yhpwWbIA6,Avicii
5DUlefCLzVRzNWaNURTFpK,Cali Y El Dandee
0bdfiayQAKewqEvaU6rXCv,MØ
7nKeLE1toRtW4M279iS26h,Zay Hilfigerrr
699OTQXzgjhIYAHMy9RyPD,Playboi Carti
05o1zW8b6PV6rEquXr74sB,State of Sound
77AiFEVeAVj2ORpC85QVJs,Steve Aoki
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta
31TPClRtHm23RisEBtV3X7,Justin Timberlake
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy
7mnAzEmgquhrVtGob81SmO,Big Shaq
21451j1KhjAiaYKflxBjr1,Zion & Lennox
7slfeZO9LsJbWgpkIoXBUJ,Ricky Martin
2oX42qP5ineK3hrhBECLmj,Andy Grammer
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello
5dHt1vcEm9qb8fCyLcB3HL,A$AP Ferg
1pPmIToKXyGdsCF6LmqLmI,Rich The Kid
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa
1b4DN8Vj0dnj5cceMFsRYN,Dante Klein
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson
5338fdSzGNOFD4cxAxDTeq,Aaron Carter
25u4wHJWxCA9vO0CzxAbK7,Lukas Graham
6fOMl44jA4Sp5b9PpYCkzz,NF
36jaGQtMj5UWD0eO1fCVdD,Joel Adams
188VINPQh5dyNfLUkevKqf,Olivia Holt
27mFvqQj8KpjmdKIqcw1mG,Ayo & Teo
3oSJ7TBVCWMDMiYjXNiCKE,Kane Brown
4bw2Am3p9ji3mYsXNXtQcd,Piso 21
5K4W6rqBFWDnAN6FQUkS6x,Kanye West
4kI8Ie27vjvonwaB2ePh8T,Portugal. The Man
15NtJjjHRFybdNSMyM9smT,Nevada
1mX1TWKpNxDSAH16LgDfiR,Jesse & Joy
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino
1XLjkBxFokuDTlHt0mQkRe,Thomas Gold
3iri9nBFs9e4wN7PLIetAw,gnash
5lXfVoQxVgC5fpjkVqvNYn,Isaiah
6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB
3Gm5F95VdRxW3mqCn8RPBJ,Aminé
6icQOAFXDZKsumw3YXyusw,Lil Yachty
2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt
2bxxlINUlcMQQb39K7IopR,Abraham Mateo
0C0XlULifJtAgn6ZNCW2eu,The Killers
0NGAZxHanS9e0iNHpR8f2W,Alok
4AKwRarlmsUlLjIwt38NLw,Ofenbach
6d47Z08T4snK50HgTEHo5Z,Sage The Gemini
7KUri7klyLaIFXLcuuOMCd,Stargate
