song_id,artist_id,duration,popularity,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mode,key,track_number,artist_popularity,album_length,release_date,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,mode_confidence,key_confidence,num_bars,num_beats,num_tatums,num_sections,num_segments
019DF8Hvg3EZVhFl5msAAJ,6RpuyfgMkG8lr9QD5tM8tu,175106,42,1,0.821,0.779,-5.746,0.0911,0.0345,0,0.0944,0.39,77.471,4,0,10,1,40,1,10109,0.0,166.68444,0.079,0.873,0.459,0.343,55,224,448,6,835

5MIZIKnTTsZS8bAY5O2Vee,1QmtDR2wBkvzxBB188KDGe,233887,41,1,0.908,0.567,-6.181,0.285,0.0149,6.98e-06,0.0749,0.256,136.017,4,0,1,1,37,1,10092,2.37424,224.42086,0.74,1.0,0.194,0.045,128,518,1036,13,978

1HOS6g5sA0nwUCkd2Tboxu,41X1TR6hrK8Q2ZCpp2EqCz,182189,41,1,0.907,0.708,-8.3,0.134,0.256,0.000646,0.105,0.755,137.012,4,0,10,1,61,1,10187,0.0,182.18979,1.0,1.0,0.479,0.475,103,415,830,11,845

1tXHRPqbUvkoJ5Vai6qtvx,41X1TR6hrK8Q2ZCpp2EqCz,167007,39,1,0.898,0.395,-7.0,0.344,0.284,0.000132,0.108,0.331,137.987,4,0,4,1,61,1,9976,0.0,153.6058,0.788,0.883,0.459,0.513,95,383,766,6,677

5pvVAwQbuFoR7LkcicrKnk,0q4NrXqJnc367PieejuROJ,221982,65,0,0.741,0.559,-7.775,0.03,0.00728,0.000971,0.21,0.466,101.999,4,1,10,1,67,1,9954,0.0,215.66113,0.542,1.0,0.516,0.757,93,376,752,10,872

1K2xnKlPqXhLuTwPkQxmrJ,0q4NrXqJnc367PieejuROJ,198200,57,0,0.795,0.679,-5.616,0.0725,0.25,3.5e-06,0.221,0.687,100.021,4,0,11,1,67,1,10209,0.0,193.21324,0.51,1.0,0.46,0.468,80,323,646,7,905

6Z6quH5WcwOkmgGPGrGUPL,0q4NrXqJnc367PieejuROJ,177094,55,1,0.779,0.671,-5.829,0.0814,0.153,1.12e-05,0.115,0.718,104.953,4,1,9,1,67,1,9790,0.28449,173.34857,0.492,1.0,0.351,0.158,74,304,608,8,770

353IXuX7vXuA13pVemNp25,1auEXVjtAE1Q22jdOmeYcq,211747,55,0,0.611,0.744,-6.683,0.0598,0.00242,8.78e-05,0.204,0.742,123.97,4,1,4,1,47,1,10093,0.0,206.62857,0.836,1.0,0.0,0.0,109,435,870,9,859

24KqrIoofDAJ5uNEFFH0zC,0q4NrXqJnc367PieejuROJ,204999,49,1,0.707,0.874,-2.829,0.0466,0.027,0.00012,0.625,0.221,99.99,4,0,6,1,67,1,9865,0.0,195.86032,0.523,1.0,0.199,0.255,85,338,676,6,956

4lfLXOwkXU6nGQ0xqjDugX,0q4NrXqJnc367PieejuROJ,240859,53,0,0.762,0.531,-8.043,0.0406,0.0119,9.69e-06,0.219,0.441,102.023,4,1,10,1,67,1,10106,0.0,234.53896,0.476,1.0,0.447,0.694,101,409,818,9,978

5a5H265oyVQPw5BHZ7jJbE,0q4NrXqJnc367PieejuROJ,225942,51,0,0.524,0.708,-4.645,0.0364,0.0807,0.0144,0.124,0.484,102.099,4,1,10,1,67,1,10044,0.0,219.95683,0.455,1.0,0.381,0.283,94,382,764,8,956

1IGhgum0DnpDgxSK2L4YRp,0f5nVCcR06GX8Qikz0COtT,207806,49,0,0.71,0.673,-5.583,0.0926,0.385,8.25e-05,0.0931,0.627,104.146,4,1,0,1,73,1,10017,0.11034,201.75238,0.427,1.0,0.465,0.366,89,356,712,9,848

12qk6Dj0KX698NsYpi1Man,0q4NrXqJnc367PieejuROJ,196714,48,1,0.674,0.608,-6.387,0.149,0.253,0,0.0825,0.487,105.07,4,0,1,1,67,1,9912,0.13937,188.56925,0.462,1.0,0.726,0.771,84,337,674,9,831

22Xi0D6D9xZOdmlnMGxGP4,0q4NrXqJnc367PieejuROJ,211911,44,0,0.667,0.683,-5.826,0.0375,0.363,0,0.312,0.687,102.025,4,1,10,1,67,1,10079,0.06961,204.75356,0.336,1.0,0.588,0.727,87,351,702,9,796

45LdhYTcFa0IQHCfnI6Mkj,0YLi5GVe4rKCqQxMkFQfNa,178442,12,0,0.707,0.695,-8.492,0.0889,0.152,0,0.155,0.824,101.118,4,1,0,1,25,34,9866,0.12113,171.33424,0.072,0.4,0.627,0.601,71,296,592,10,742

7KcgLe1h22HpTJe5fB24OU,1jxqIrwUyBeP6WFBALXfzN,236434,12,0,0.754,0.494,-14.152,0.186,0.32,1.94e-05,0.139,0.543,122.466,4,1,9,4,17,16,9290,0.09293,232.93098,0.742,0.954,0.588,0.695,118,474,948,12,1012

17PXcjbqBlZiRikLrbfJT9,1jxqIrwUyBeP6WFBALXfzN,229955,11,0,0.777,0.483,-12.225,0.104,0.358,6.89e-05,0.167,0.866,96.859,3,1,10,2,17,16,9290,0.09288,222.55746,0.424,0.089,0.525,0.725,122,366,732,11,933

7b2OfIJ8RqUjZnIKMZ0v4V,1jxqIrwUyBeP6WFBALXfzN,252682,11,0,0.793,0.536,-12.266,0.154,0.216,2.16e-05,0.0511,0.803,121.166,4,1,8,3,17,16,9290,0.09297,249.72481,0.729,0.353,0.544,0.579,125,506,1012,16,1104

3ZV87wSGod8Z75L4d0UQW6,1jxqIrwUyBeP6WFBALXfzN,324231,10,0,0.719,0.509,-13.901,0.0726,0.159,0.000397,0.201,0.549,124.239,4,1,0,6,17,16,9290,0.09283,321.05651,0.68,0.994,0.662,0.754,167,664,1328,19,1416

0jflcUbx8oWmxCNfggTJkf,0YLi5GVe4rKCqQxMkFQfNa,147293,10,0,0.669,0.319,-12.622,0.0477,0.854,6.27e-05,0.046,0.924,97.888,4,1,0,6,25,10,8011,0.11007,139.99311,0.022,0.179,0.481,0.723,56,230,460,5,501

