song_id,artist_id,duration,popularity,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mode,key,track_number,artist_popularity,album_length,release_date,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,mode_confidence,key_confidence,num_bars,num_beats,num_tatums,num_sections,num_segments
7gB0K0wT0YHvZp2rMeYNEE,5bHjVR4F2Tfq4Ha6x7K6wU,307600,42,0,0.491,0.385,-16.989,0.0324,0.637,0.138,0.181,0.215,130.986,4,0,5,2,67,10,6308,0.08122,299.04399,0.903,1.0,0.853,0.823,167,668,1336,13,1053
4Ew4ptPN9UBugAm5qOdoUx,5bHjVR4F2Tfq4Ha6x7K6wU,114040,41,0,0.545,0.226,-13.216,0.0547,0.827,0.854,0.129,0.412,76.002,4,1,0,1,67,13,6971,0.0,114.04,0.574,0.663,0.449,0.133,34,139,278,5,272
4nGshLvYystwed45UxVWdu,5bHjVR4F2Tfq4Ha6x7K6wU,196120,41,0,0.715,0.112,-18.385,0.0909,0.975,0.904,0.166,0.564,146.056,4,1,0,1,67,12,8675,2.02014,181.11565,0.921,1.0,0.651,0.432,116,469,938,11,681
4b4inATXkXR2Z2idhdXfNN,5bHjVR4F2Tfq4Ha6x7K6wU,218413,40,0,0.671,0.101,-21.88,0.0725,0.985,0.951,0.0689,0.437,93.057,4,1,2,3,67,12,7104,0.46444,212.23039,0.301,1.0,1.0,1.0,82,332,664,11,535
5bm3xlIvlhyilGSVRkXcAp,5bHjVR4F2Tfq4Ha6x7K6wU,212973,40,0,0.281,0.123,-19.108,0.053,0.917,0.964,0.123,0.46,90.058,4,1,7,6,67,13,6971,0.30186,203.19202,0.192,1.0,0.621,0.464,87,351,702,8,495
7bFD8duyBmqE8uS4eyq4fP,5ZaFmMhTJOl2u0mxn5VF3J,226302,40,0,0.375,0.521,-9.31,0.189,0.00607,0,0.183,0.274,92.474,1,1,7,1,32,1,10113,0.0,220.24127,0.037,0.013,0.559,0.445,77,307,614,11,899
3mfUJFfBeSmsvKuQLLEIF0,5ZaFmMhTJOl2u0mxn5VF3J,160812,21,1,0.789,0.366,-11.997,0.509,0.4,1.76e-05,0.22,0.239,126.263,4,1,1,1,32,1,10175,0.13941,148.12009,0.312,1.0,0.521,0.395,82,330,660,7,661
7bxXptjOaMVpJs672YGDEN,5ZaFmMhTJOl2u0mxn5VF3J,197120,7,0,0.627,0.71,-7.694,0.368,0.017,0,0.102,0.615,94.391,4,0,5,1,32,1,10073,0.0,181.49297,0.109,1.0,0.153,0.0,74,303,606,6,941
7yYViVUR22kmcKkmy3RT2G,5ZaFmMhTJOl2u0mxn5VF3J,216607,5,1,0.665,0.931,-7.102,0.431,0.431,0,0.103,0.25,152.313,4,0,1,1,32,1,10072,0.0,212.20717,0.474,1.0,0.653,0.661,136,541,1082,9,946
1m1KwxMRvYgnHIDbwxPc2M,5ZaFmMhTJOl2u0mxn5VF3J,282044,5,0,0.549,0.689,-8.07,0.459,0.565,0,0.118,0.241,79.541,4,0,4,1,32,1,10017,0.17995,263.3259,0.11,1.0,0.467,0.618,93,370,740,10,1141
5MiUJ0FFtRA3vIEwvnjy2q,5ZaFmMhTJOl2u0mxn5VF3J,221283,3,1,0.625,0.703,-12.515,0.815,0.255,0,0.0984,0.532,80.12,4,0,1,1,32,1,9997,0.15098,196.92844,0.02,0.6,0.396,0.286,71,287,574,8,1042
0mCSmq15qSPAlAdFOoVodH,5ZaFmMhTJOl2u0mxn5VF3J,227213,3,0,0.62,0.618,-9.154,0.508,0.278,0,0.0901,0.382,111.677,3,0,11,1,32,1,10128,4.76009,215.81787,0.037,0.585,0.773,0.843,130,391,782,11,937
