Artist,Title,Spotify URL
Luis Fonsi,Despacito - Remix,5CtI0qwDJkDQGwXD1H1cLb
Gucci Mane,I Get The Bag (feat. Migos),1XRgIKC5TPwo7nWGyKqgG0
Shawn Mendes,There's Nothing Holdin' Me Back,79cuOz3SPQTuFrp8WgftAu
DJ Khaled,Wild Thoughts,1OAh8uOEOvTDqkKFsKksCi
Shakira,Perro Fiel,70lnL3QaSOIIyMa2X9aVRL
J Balvin,Bonita,693iqPOQvhI7PobtR8CC8v
Lorde,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",69Naniu2KjKjaQOBUagE8U
Bebe Rexha,Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn
Macklemore,Good Old Days (feat. Kesha),2Za1AlJNvksouPPWbXpR2X
Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),2eAZfqOm4EnOF9VvN50Tyc
Maluma,Felices los 4,0qYTZCo5Bwh1nsUFGZP3zn
A$AP Ferg,Plain Jane,4dVpf9jZjcORqGTLUaeYj9
CNCO,Reggaetón Lento (Remix) [CNCO & Little Mix],3zoYkqS4y2BsGVShPL2nTE
Alex Sensation,Que Va,7ofxPmTNMj2GP07g1VZa0O
Imagine Dragons,Believer,0CcQNd8CINkwQfe1RDtGV6
Post Malone,Go Flex,5yuShbu70mtHXY0yLzCQLQ
The Chainsmokers,Something Just Like This,6RUKPb4LETWmmr3iAEQktW
Nacho,Báilame - Remix,3VClLWqNn80Llv0PJOsKgr
DJ Snake,A Different Way (with Lauv),0Wv5wuenRLI3BcwgT3HPIP
Travis Scott,Butterfly Effect,1yxgsra98r3qAtxqiGZPiX
Halsey,Bad At Love,7y9iMe8SOB6z3NoHE2OfXl
Liam Payne,Strip That Down,6EpRaXYhGOB3fj4V2uDkMJ
Wisin,Escápate Conmigo,2cnKEkpVUSV4wnjQiTWfH6
Jonas Blue,Mama,0NiXXAI876aGImAd6rTj8w
Chris Brown,Questions,3ojTJaonfkL96iIWa47SU3
Travis Scott,goosebumps,6gBFPUFcJLzWGx4lenP6h2
Clean Bandit,I Miss You (feat. Julia Michaels),2xmrfQpmS2iJExTlklLoAL
Louis Tomlinson,Back to You (feat. Bebe Rexha & Digital Farm Animals),7F9vK8hNFMml4GtHsaXui6
Carlos Vives,Robarte un Beso,4z3GJkrtH97Bj6fRta983T
Joey Montana,Suena El Dembow,5TysCiZtv1HnSWcTcUFusI
Khalid,Location,152lZdxL1OR0ZMW6KquMif
Niall Horan,Slow Hands,38yBBH2jacvDxrznF7h08J
Liam Payne,Bedroom Floor,1pZdegOXTZ2ftINo3oUuRZ
DJ Khaled,I'm the One,3DXncPQOG4VBw3QHh3S817
James Arthur,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh
Luis Fonsi,Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2
Manuel Turizo,Una Lady Como Tú,7MHN1aCFtLXjownGhvEQlF
Daddy Yankee,Vuelve,0lJCqIx5BhZtf6QtYI2fbv
21 Savage,Ghostface Killers,5u6vkDnOyaf8LsteDAj2ub
Post Malone,Candy Paint,42CeaId2XNlxugDvyqHfDf
G-Eazy,No Limit,2Xqd0wUttjueBfdcltADOv
Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),6kex4EBAj0WHXDKZMEJaaF
Jason Derulo,If I'm Lucky,6eUncuJutsFi9BGO1JaBHh
Kodak Black,Roll In Peace (feat. XXXTENTACION),40oKW22ZNNkEdZLJTScaQI
Big Shaq,Man's Not Hot,2nUJvBO87SkxCViQsLc9Zr
Taylor Swift,...Ready For It?,19WjVVgXjdKXfLXoaDPwTM
XXXTENTACION,Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2
